,order_id,local_date,sku,sku_count,sku_id_count
0,807636508,2022-07-01,"905851,901870,902459,902405,906075,912870,902450",7,7
1,806634633,2022-07-01,"900955,903142,903141,901839,903131,913044,901125,900334,902134",9,9
2,806728678,2022-07-01,"900350,900351,915650,902129,916994,900510,900349,904512,903157",9,9
3,807114392,2022-07-01,916174,1,1
4,806755515,2022-07-01,901078,1,1
5,806680958,2022-07-01,"902446,906291,917481,913364,902434,905691,902405,902439,917227",9,9
6,806702290,2022-07-01,"901463,901127,900220,902129,903134,900344,912467,902538,917480,902799,916359,902520,903123",13,13
7,807598148,2022-07-01,"917346,912217,916905,917348,909232,918255,909231",7,7
8,807622833,2022-07-01,"911849,906291,902419,902425,902465,902455,902428,902437,902418",9,9
9,806731850,2022-07-01,"901834,900776,902111,902130,907237,912955,900126,903134,908060,900344,913392,912468,906059,901869",14,14
10,806765281,2022-07-01,"900516,901740,915071",3,3
11,806899233,2022-07-01,"912452,909916,903151,901533",4,4
12,806688944,2022-07-01,"915329,913030,918154,ant085",4,4
13,806775119,2022-07-01,"902130,901870,901134,913925",4,4
14,806839712,2022-07-01,"901059,917481,901067,913588,902513,901065,913002",7,7
15,806716940,2022-07-01,"902111,903134,903131,900510,903133,912468,903152,915465",8,8
16,806833471,2022-07-01,"911777,902529,916352",3,3
17,807358472,2022-07-01,"902436,902434,902418",3,3
18,806784861,2022-07-01,"902408,914027,918563",3,3
19,806618762,2022-07-01,"901837,901831,900985,915464,904689",5,5
20,807612553,2022-07-01,"904776,903142,915821,902129,916036,908059,903151,902132",8,8
21,806746045,2022-07-01,913109,1,1
22,807436830,2022-07-01,"900356,903136,901870,912735,903141,903126,900349,902128",8,8
23,806829702,2022-07-01,"912898,906056,901870,902043,900581,902041,903137,900579,901618,909586,908059,911390,913794,906059,900442,904998",16,16
24,807387982,2022-07-01,"911777,901155,903136,907409,913910,902043,900345,913398,900510,914232,902405,908059,908934,901466,902039,917944,901871",17,17
25,807213451,2022-07-01,"902136,902130,902123,906846,908059,912286",6,6
26,807615352,2022-07-01,"901784,911295,902148,905668,902527,906411,903129,907918",8,8
27,807116456,2022-07-01,"901834,913046,911163,916161,903126,902397,908059,903133,902437,900437",10,10
28,806789491,2022-07-01,"916574,907625,908486,902397,902405,910880",6,6
29,806720192,2022-07-01,"902450,916607,909224,900492,910767,909992,901118,901134,907152,901141,901074,901082",12,12
30,807167061,2022-07-01,"902450,902408,901784,902148,902041,902459,903959,906010,901953,913414,900339,913353,900340,901787",14,14
31,807577993,2022-07-01,"902408,906120,912955,902399,900279,901076,902397,908936,902405,911390,903151,909227,900958,900127,902437,907918",16,16
